year,gear,flag_iso2,fleet,species,catch,units,flag_name,flag_iso3,is_SID
1992,L,AU,JV,fal,0,mt,Australia,AUS,FALSE
1992,L,AU,AU,thr,0,mt,Australia,AUS,FALSE
1992,L,AU,JV,thr,0,mt,Australia,AUS,FALSE
1993,L,AU,AU,alb,186,mt,Australia,AUS,FALSE
1993,L,AU,JV,alb,126,mt,Australia,AUS,FALSE
1993,L,AU,AU,bet,25,mt,Australia,AUS,FALSE
1993,L,AU,JV,bet,0,mt,Australia,AUS,FALSE
1993,L,AU,AU,pbf,0,mt,Australia,AUS,FALSE
1993,L,AU,JV,pbf,0,mt,Australia,AUS,FALSE
1993,L,AU,AU,skj,5,mt,Australia,AUS,FALSE
1993,L,AU,JV,skj,0,mt,Australia,AUS,FALSE
1993,L,AU,AU,yft,781,mt,Australia,AUS,FALSE
1993,L,AU,JV,yft,1,mt,Australia,AUS,FALSE
1993,L,AU,AU,blm,0,mt,Australia,AUS,FALSE
1993,L,AU,JV,blm,0,mt,Australia,AUS,FALSE
1993,L,AU,AU,bum,0,mt,Australia,AUS,FALSE
1993,L,AU,JV,bum,0,mt,Australia,AUS,FALSE
1993,L,AU,AU,mls,27,mt,Australia,AUS,FALSE
1993,L,AU,JV,mls,0,mt,Australia,AUS,FALSE
1993,L,AU,AU,swo,33,mt,Australia,AUS,FALSE
1993,L,AU,JV,swo,0,mt,Australia,AUS,FALSE
1993,L,AU,AU,ham,0,mt,Australia,AUS,FALSE
1993,L,AU,JV,ham,0,mt,Australia,AUS,FALSE
1993,L,AU,AU,mak,0,mt,Australia,AUS,FALSE
1993,L,AU,JV,mak,0,mt,Australia,AUS,FALSE
1993,L,AU,AU,ocs,0,mt,Australia,AUS,FALSE
1993,L,AU,JV,ocs,0,mt,Australia,AUS,FALSE
1993,L,AU,AU,por,0,mt,Australia,AUS,FALSE
1993,L,AU,JV,por,0,mt,Australia,AUS,FALSE
1993,L,AU,AU,fal,0,mt,Australia,AUS,FALSE
1993,L,AU,JV,fal,0,mt,Australia,AUS,FALSE
1993,L,AU,AU,thr,0,mt,Australia,AUS,FALSE
1993,L,AU,JV,thr,0,mt,Australia,AUS,FALSE
1994,L,AU,AU,alb,357,mt,Australia,AUS,FALSE
1994,L,AU,JV,alb,43,mt,Australia,AUS,FALSE
1994,L,AU,AU,bet,123,mt,Australia,AUS,FALSE
1994,L,AU,JV,bet,10,mt,Australia,AUS,FALSE
1994,L,AU,AU,pbf,0,mt,Australia,AUS,FALSE
1994,L,AU,JV,pbf,0,mt,Australia,AUS,FALSE
1994,L,AU,AU,skj,5,mt,Australia,AUS,FALSE
1994,L,AU,JV,skj,0,mt,Australia,AUS,FALSE
1994,L,AU,AU,yft,1221,mt,Australia,AUS,FALSE
1994,L,AU,JV,yft,43,mt,Australia,AUS,FALSE
1994,L,AU,AU,blm,3,mt,Australia,AUS,FALSE
1994,L,AU,JV,blm,0,mt,Australia,AUS,FALSE
1994,L,AU,AU,bum,4,mt,Australia,AUS,FALSE
1994,L,AU,JV,bum,0,mt,Australia,AUS,FALSE
1994,L,AU,AU,mls,54,mt,Australia,AUS,FALSE
1994,L,AU,JV,mls,0,mt,Australia,AUS,FALSE
1994,L,AU,AU,swo,38,mt,Australia,AUS,FALSE
1994,L,AU,JV,swo,0,mt,Australia,AUS,FALSE
1994,L,AU,AU,ham,0,mt,Australia,AUS,FALSE
1994,L,AU,JV,ham,0,mt,Australia,AUS,FALSE
1994,L,AU,AU,mak,0,mt,Australia,AUS,FALSE
1994,L,AU,JV,mak,0,mt,Australia,AUS,FALSE
1994,L,AU,AU,ocs,0,mt,Australia,AUS,FALSE
1994,L,AU,JV,ocs,0,mt,Australia,AUS,FALSE
1994,L,AU,AU,por,0,mt,Australia,AUS,FALSE
1994,L,AU,JV,por,0,mt,Australia,AUS,FALSE
1994,L,AU,AU,fal,0,mt,Australia,AUS,FALSE
